               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.062445,            0.013222,            0.027011,             0.42618,             0.71429,             0.62305,             0.41261,            0.038317,           0.0088079,             0.02188,            0.009028,            0.009028,            0.009028
                  56,            0.057061,            0.011983,            0.030249,             0.42618,             0.71429,             0.62305,             0.41261,            0.038317,           0.0088079,             0.02188,             0.00901,             0.00901,             0.00901
                  57,            0.052153,            0.016842,            0.026808,             0.39228,             0.71429,             0.63805,              0.3481,            0.035888,           0.0088121,             0.02169,            0.008992,            0.008992,            0.008992
                  58,            0.050963,            0.014821,            0.028093,             0.32442,                0.75,             0.69313,              0.3779,            0.042568,           0.0087449,            0.021461,            0.008974,            0.008974,            0.008974
                  59,             0.05553,            0.015734,            0.026452,             0.33474,             0.66667,             0.53101,             0.30378,            0.046286,           0.0086829,            0.021429,            0.008956,            0.008956,            0.008956
                  60,            0.062469,            0.012465,            0.028263,             0.33474,             0.66667,             0.53101,             0.30378,            0.046286,           0.0086829,            0.021429,            0.008938,            0.008938,            0.008938
                  61,            0.059143,            0.014469,            0.031419,             0.39054,                0.75,             0.57867,             0.38696,            0.039024,           0.0082895,            0.021155,             0.00892,             0.00892,             0.00892
                  62,            0.054511,            0.015399,            0.027541,             0.43764,                0.75,             0.63718,             0.26004,            0.045036,            0.008253,            0.021299,            0.008902,            0.008902,            0.008902
                  63,            0.055131,            0.010489,            0.032384,             0.45922,             0.69522,             0.61188,             0.30996,            0.051371,           0.0078017,            0.021266,            0.008884,            0.008884,            0.008884
                  64,             0.05894,            0.014848,            0.026231,             0.45922,             0.69522,             0.61188,             0.30996,            0.051371,           0.0078017,            0.021266,            0.008866,            0.008866,            0.008866
                  65,            0.058397,            0.012637,            0.025476,             0.53022,              0.7296,             0.59826,             0.32021,            0.049043,           0.0077368,            0.021156,            0.008848,            0.008848,            0.008848
                  66,            0.058956,            0.013441,             0.02618,             0.58174,             0.70238,             0.63134,             0.19169,            0.049097,             0.00761,            0.020565,             0.00883,             0.00883,             0.00883
                  67,            0.059675,            0.013775,            0.024995,             0.45331,             0.73993,             0.72692,              0.4393,            0.048244,           0.0075946,            0.020218,            0.008812,            0.008812,            0.008812
                  68,            0.059062,             0.01088,            0.030175,             0.45331,             0.73993,             0.72692,              0.4393,            0.048244,           0.0075946,            0.020218,            0.008794,            0.008794,            0.008794
